id,title,primary,secondary,year,doi,animals,feedback,models_ref,models2,reviews,has_pdf,has_notes,notes
recB7n3thv2EEgswz,Changes in intra- and interlimb reflexes from forelimb cutaneous afferents after staggered thoracic lateral hemisections during locomotion in cats,Mari,Lecomte; Merlet; Audet,2024,10.1113/jp286808,,,,,,False,False,
recBBTuyfoRBF4qKO,Mechanical models for insect locomotion: dynamics and stability in the horizontal plane I. Theory,Schmitt,,2000,10.1007/s004220000181,,,,,,False,False,
recBG7nKHyAasniee,Mechanosensory Feedback in Walking: From Joint Control to Locomotor Patterns,Büschges and Gruhn,,2007,10.1016/s0065-2806(07)34004-6,,,,,,False,False,
recBJNwgxWX8FERYZ,Dynamic response of human muscle spindle afferents to stretch,Edin,,1990,10.1152/jn.1990.63.6.1297,Human,,,,,False,False,
recBMnoy8KuuLLSdG,Adaptive hindlimb split-belt treadmill walking in rats by controlling basic muscle activation patterns via phase resetting,Fujiki,Aoi; Funato; Sato; Tsuchiya; Yanagihara,2018,10.1038/s41598-018-35714-8,Rat; Mammals,,,Fujiki 2018,,True,True,Forward dynamic simulation with a neuromusculoskeletal rat model supports resetting the onset timings of a few basic muscle-activation patterns by leg sensory feedback — especially hip-flexor extension — as the mechanism adapting hindlimb walking to split-belt treadmill conditions.
recBMsJS4yKuHNuo5,Disynaptic group I excitation of synergist ankle extensor motoneurones during fictive locomotion in the cat.,McCrea,Shefchyk; Stephens; Pearson,1995,10.1113/jphysiol.1995.sp020897,,,,,,True,False,
recBe3nrGHqhy5cGJ,The Effects of Spike Frequency Adaptation and Negative Feedback on the Synchronization of Neural Oscillators,Ermentrout,,2001,10.1162/08997660152002861,,,,,,False,False,
recBeKlyBzbyOITRA,Integration of posture and rhythmic motion controls in quadrupedal dynamic walking using phase modulations based on leg loading/unloading,Maufroy,,2010,10.1007/s10514-009-9172-5,,,,,,False,False,
recBgnEcuiN6cSJBL,The locomotion of the low spinal cat. II. Interlimb coordination,Forssberg,Grillner; Halbertsma; Rossignol,1980,10.1111/j.1748-1716.1980.tb06534.x,,,,,,False,False,
recBhbcDEAqAib5Cf,Controlling torque in a prosthesis or orthosis,Herr,Casler; Han; Barnhart; Girzon; Garlow,2011,,,,,,,False,False,
recBjo2JaO4aDGNK7,Dynamic Regulation of Sensorimotor Integration in Human Postural Control,Peterka,,2004,10.1152/jn.00516.2003,Human,,,Peterka 2004,,False,True,"Computational model study. However, we show that, after a period in which access to accurate sensory information was reduced, the restoration of accurate information disrupted postural stability."
recBk3EfLp4HDiPMN,Age and sex differences in human balance performance from 6-18 years of age: A systematic review and meta-analysis,Schedler,,2019,10.1371/journal.pone.0214434,Human,,,,Schedler 2019,True,True,"Review of age sex differences human balance performance. RESEARCH ARTICLE Age and sex differencesin human balance performancefrom 6-18 years of age: A systematicreview and meta-analysis Simon SchedlerID 1*, Rainer Kiss2, Thomas Muehlbauer1 1 Division of Movement and Training Sciences/Biomechanics of Sport, University of Duisburg-Essen, Essen, Germany, 2 Department of Health and Social Affairs,..."
recBowk2bNdwFfR9o,Ia inhibitory interneurons and Renshaw cells as contributors to the spinal mechanisms of fictive locomotion.,Pratt and Jordan,,1987,10.1152/jn.1987.57.1.56,,,,,,False,False,
recBpCSEORrkMr9vr,Effects of combining static and dynamic fusimotor stimulation on the response of the muscle spindle primary ending to sinusoidal stretching.,Hulliger,,1977,10.1113/jphysiol.1977.sp011840,,,,,,False,False,
recBq2I1f3v1wg9i1,Propriospinal Neurons: Essential Elements of Locomotor Control in the Intact and Possibly the Injured Spinal Cord.,Laliberté,Goltash; Lalonde; Bui,2019,10.3389/fncel.2019.00512,,,,,,True,False,
recBqaMMPYjKT0toi,The Persistent Sodium Current Generates Pacemaker Activities in the Central Pattern Generator for Locomotion and Regulates the Locomotor Rhythm,Tazerart,,2008,10.1523/jneurosci.1437-08.2008,,,,,,False,False,
recBtnQEViQe9nMbF,BirdBot achieves energy-efficient gait with minimal control using avian-inspired leg clutching,Badri-Spröwitz,,2022,10.1126/scirobotics.abg4055,,,,Badri-Spröwitz 2022,,False,True,"Computational model study. Here, we demonstrate an avian-inspired robot leg design, BirdBot, that challenges the reliance on rapid feedback control for joint coordination and replaces active control with intrinsic, mechanical coupling, reminiscent of a self-engaging and disengaging clutch."
recBw9Zqf4F6xcr4o,"Nonlinear Modulation of Cutaneous Reflexes with Increasing
Speed of Locomotion in Spinal Cats",Hurteau,Thibaudier; Dambreville; Chraibi; Desrochers; Telonio; Frigon,2017,10.1523/JNEUROSCI.3042-16.2017,Cat,,,,,True,True,"When walking, receptors located in the skin respond to mechanical pressure and send signals to the CNS to correct the trajectory
of the limb and to reinforce weight support. These signals produce different responses, or reflexes, if they occur when the foot is
contacting the ground or in the air. This is known as phase-dependent modulation of reflexes. However, when walking at faster
speeds, we do not know if and how these reflexes are changed. In the present study, we show that reflexes from the skin are
modulated with speed and that this is controlled at the level of the spinal cord. This modulation could be important in preventing
sensory signals from destabilizing the walking pattern.

The speeddependent modulation of cutaneous reflexes was assessed by evoking and characterizing ipsilateral and contralateral responses in
semitendinosus, vastus lateralis, and lateral gastrocnemius muscles at four treadmill speeds: 0.2, 0.4, 0.6, and 0.8 m/s. The amplitudes of
ipsilateral and contralateral responses were largest at intermediate speeds of 0.4 and 0.6 m/s, followed by the slowest and fastest speeds
of 0.2 and 0.8 m/s, respectively. The phase-dependent modulation of reflexes was maintained across speeds, with ipsilateral and contralateral responses peaking during the stance-to-swing transition and swing phase of the ipsilateral limb or midstance of the contralateral limb. Reflex modulation across speeds also correlated with the spatial symmetry of the locomotor pattern, but no"
recC2l33o0qbTliw9,"Integration of feedforward and feedback control in the neuromechanics of vertebrate locomotion: a review of experimental, simulation and robotic studies",Ijspeert and Daley,,2023,10.1242/jeb.245784,,,,,,True,False,
recC76WYNaaRhRz3f,Simulated Neural Dynamics Produces Adaptive Stepping and Stable Transitions in a Robotic Leg,Klein,Szczecinski; Ritzmann; Quinn,2014,10.1007/978-3-319-09435-9_15,,,,,,True,False,
recC8F0zHHvXzceS9,Taking the next step: cortical contributions to the control of locomotion,Drew and Marigold,,2015,10.1016/j.conb.2015.01.011,,,,,,False,False,
recC9OOtHmEDmuNji,Dephasing and Bursting in Coupled Neural Oscillators,Han,,1995,10.1103/physrevlett.75.3190,,,,,,False,False,
recCAziFlqwjxMRbB,Learning to stop: a unifying principle for legged locomotion in varying environments,George Thuruthel,,2021,10.1098/rsos.210223,,,,,,False,False,
recCEWqUUx9FOJLWo,Initiating or Blocking Locomotion in Spinal Cats by Applying Noradrenergic Drugs to Restricted Lumbar Spinal Segments,Marcoux and Rossignol,,2000,10.1523/jneurosci.20-22-08577.2000,,,,,,True,False,
recCFeBMqwumM6uPE,"Current Principles of Motor Control, with Special Reference to Vertebrate Locomotion",Grillner and El Manira,,2020,10.1152/physrev.00015.2019,Vertebrates,,,,,True,False,
recCKM8JmUVPKSFeP,Neuromechanical model of praying mantis explores the role of descending commands in pre-strike pivots.,Szczecinski et al.,,2015,10.1088/1748-3190/10/6/065005,Insects,,,Szczecinski 2015,,False,True,Neuromechanical model of the praying mantis showing how descending commands interact with leg mechanics to produce pre-strike pivots; small descending signals exploit body dynamics.
recCal5CrqUJKma67,Positive force feedback in human walking: Positive force feedback in human walking,Grey,,2007,10.1113/jphysiol.2007.130088,,,,,,False,False,
recCgLw3aGTpDDj7t,Unusual Quadrupedal Locomotion in Rat during Recovery from Lumbar Spinal Blockade of 5-HT7 Receptors.,Sławińska,Majczyński; Kwaśniewska; Miazga; Cabaj; Bekisz; Jordan; Zawadzka,2021,10.3390/ijms22116007,,,,,,True,False,
recCjTyA6Mz9tHw0G,Sensory feedback and central neuronal interactions in mouse locomotion,Molkov,Yu; Ausborn; Bouvier,2024,10.1098/rsos.240207,,,,,,False,False,
recCm9xYsGThROcmS,Structural Model of the Muscle Spindle,Lin,,2002,10.1114/1.1433488,,,,Lin 2002,,False,True,Computational model study. — A model of the muscle spindle was developed based on its anatomical structure.
recCrC21uprOifXmL,The gust-mitigating potential of flapping wings,Fisher,,2016,10.1088/1748-3190/11/4/046010,Insects,,,Fisher 2016,Fisher 2016,False,True,"Review of gust-mitigating potential flapping wings. Computational model study. In this study, we subject a mechanicalﬂapping wing to replicated atmospheric turbulence across a range ofﬂapping frequencies and turbulence intensities."
recCrJ7qissfONJjz,Sensor-rich feedback control: a new paradigm for flight control inspired by insect agility,Zbikowski,,2004,10.1109/mim.2004.1337909,Human; Insects,,,,,False,True,"1094-6969/04/$20.00©2004IEEE T he effort to design and build a micro air vehicle (MAV) with insect-like flapping wings has led to a surprising new development in flight control, which will accord miniature sensors a central role."
recCyXtgJYVV0w8uI,Ionic conductances underlying the activity of interneurons that control heartbeat in the medicinal leech,Arbas,,1987,10.1523/jneurosci.07-12-03945.1987,,,,,,False,True,"Hyperpolari- zation of HN neurons with injected currents revealed a time- dependent change in membrane potential, whereby initial maximum hyperpolarization was followed by a “sag” in po- tential towards more depolarized values."
recD2DwLTzV6Uz2rM,"Exercise, music, and the brain: Is there a central pattern generator?",Schneider,,2010,10.1080/02640414.2010.507252,,,,,,False,False,
recD8qqPsM8KJCYJX,Maneuvers during legged locomotion,Jindrich,,2009,10.1063/1.3143031,,,,,,False,False,
recDBS8FWkbL8ogi1,A neuromechanical model exploring the role of the common inhibitor motor neuron in insect locomotion.,Naris,Szczecinski; Quinn,2020,10.1007/s00422-019-00811-y,,,,,,False,False,
recDDDXU2QFpaua3X,Biologically inspired gait transition control for a quadruped walking robot,Koo,,2015,10.1007/s10514-015-9433-4,Human,,,Koo 2015,,False,True,Computational model study. A Two- Way oscillator coupling has been used for modeling the CPG.
recDGA2Yt2ZU5pYhG,Contribution of stretch reflexes to locomotor control: a modeling study,Yakovenko,Gritsenko; Procházka,2004,10.1007/s00422-003-0449-z,,,,,,False,False,
recDKSwBYMQO5uNiK,Organization of left-right coordination of neuronal activity in the mammalian spinal cord: Insights from computational modelling,Shevtsova,Talpalar; Markin; Harris-Warrick; Kiehn; Rybak,2015,10.1113/JP270121,Mammals; Mice,,,Shevtsova 2015,,True,True,"Coordination of neuronal activity between left and right sides of the mammalian spinal cord is provided by several sets of commissural interneurons (CINs) whose axons cross the midline. Genetically identified inhibitory V0D and excitatory V0V CINs and ipsilaterally projecting excitatory V2a interneurons were shown to secure left-right alternation at different locomotor speeds. We have developed computational models of neuronal circuits in the spinal cord that include left and right rhythm-generating centres interacting bilaterally via three parallel pathways mediated by V0D , V2a-V0V and V3 neuron populations. The models reproduce the experimentally observed speed-dependent left-right coordination in normal mice and the changes in coordination seen in mutants lacking specific neuron classes. The models propose an explanation for several experimental results and provide insights into the organization of the spinal locomotor network and parallel CIN pathways involved in gait control at different locomotor speeds."
recDKiZNcb9N7EN7W,Dynamic Stability of Open-Loop Hopping,Cham,,2006,10.1115/1.2718237,,,,Cham 2006,,False,True,"Computational model study. Cutkosky Center for Design Research, Stanford University, Stanford, CA 94305-2232 Dynamic Stability of Open-Loop Hopping Simulations and physical robots have shown that hopping and running are possible without sensory feedback."
recDNGNcRKT5a9NLH,Influence of Brain Stem on Axial and Hindlimb Spinal Locomotor Rhythm Generating Circuits of the Neonatal Mouse.,Jean-Xavier and Perreault,,2018,10.3389/fnins.2018.00053,,,,,,True,False,
recDNNmx4fL6zAhv1,Locomotor Control: From Spring-like Reactions of Muscles to Neural Prediction,Yakovenko and Procházka,,2001,10.1201/9781420038705.ch6,,,,,,False,False,
recDQog520dPE0Nbw,Performance of a model for a local neuron population,Zetterberg,,1978,10.1007/bf00337367,,,,,,False,False,
recDSLrNhTr2NsyMo,Two-Level Model of Mammalian Locomotor CPG,Shevtsova,,2013,10.1007/978-1-4614-7320-6_49-2,Cat,,,Shevtsova 2013,,False,True,"Chapter presentation of the two-level model of the mammalian locomotor CPG: a half-center rhythm generator (RG) drives a separate pattern-formation network (PF) that determines the coordinated motoneuron activity pattern, an architecture inferred from deletion analysis and afferent stimulation during brainstem-evoked fictive locomotion in the decerebrate, immobilized cat."
recDT62aen4FMrVhd,Positive force feedback in bouncing gaits?,Geyer,,2003,10.1098/rspb.2003.2454,Cat,Ib stance to swing,Geyer and Herr 2010,,,True,True,Bring more context on how the transition from gaits to running are formed and give models examples of how operations roll out.
recDbjiLWM58hFrG9,Physiologically based controller for generating overground locomotion using functional electrical stimulation.,Guevremont,Norton; Mushahwar,2007,10.1152/jn.01177.2006,,,,,,True,False,
recDilaVzX6ZvzjPM,Mid-Lumbar Segments Are Needed for the Expression of Locomotion in Chronic Spinal Cats,Langlet,Leblond; Rossignol,2005,10.1152/jn.00909.2004,,,,,,True,False,
recDjd7e412l54Uly,Review and perspective: neuromechanical considerations for predicting muscle activation patterns for movement,Ting,,2012,10.1002/cnm.2485,Human,,,Ting 2012,Ting 2012,False,True,"Review of review perspective: neuromechanical considerations predicting muscle. Computational model study. In postural control, we demonstrate that temporal patterns of muscle activity may be governed by feedback control of task-level variables that represent the overall goal-directed motion of the body."
recDoAxJ5lJhJlBYb,Dopamine modulation of transient potassium current evokes phase shifts in a central pattern generator network,Harris-Warrick,,1995,10.1523/jneurosci.15-01-00342.1995,,,,Harris-Warrick 1995,,False,True,"Computational model study. Consistent with this prediction, we found that dopamine evokes a net conductance decrease in synaptically isolated PY neurons."
recDobMp8NR8eRUwb,Force and motion management in legged locomotion,Waldron,,1986,10.1109/jra.1986.1087060,,,,,,False,False,
recDoc59f9eBJy5Af,A simple network of proprioceptive reflexes can produce a variety of bipedal gaits,Bunz,,2025,10.1101/2025.02.05.636668,Human,,,Bunz 2025,,True,True,"A controller built solely from monosynaptic and antagonistic length- and force-feedback pathways with constant gains produces walking, hopping, and running forwards and backwards in simulation — no CPG, no state machine, no gain modulation — arguing for a re-evaluation of reflexes' role in rhythm generation, with proprioception as the sole source of versatile gaits."
recDwbEYyQQlLnr6T,Kinematic and behavioral evidence for a distinction between trotting and ambling gaits in the cockroach Blaberus discoidalis,Bender,Simpson; Tietz; Daltorio; Quinn; Ritzmann,2011,10.1242/jeb.056481,,,,,,True,False,
recE58oyIqSq818ko,Kinematic and Kinetic Analysis of a Biomechanical Model of Rat Hind Limb with Biarticular Muscles,Deng,Szczecinski; Hunt; Chiel; Quinn,2020,10.1007/978-3-030-64313-3_7,,,,,,False,False,
recE9cSeqeqqeRjE5,Spinal Interneurons: Diversity and Connectivity in Motor Control,Sengupta and Bagnall,,2023,10.1146/annurev-neuro-083122-025325,Mammals; Mice,,,,Sengupta and Bagnall 2023,False,True,"Comprehensive review of spinal interneuron diversity — V0–V3, dI6, Shox2 and related classes — and their connectivity in motor control; a reference map for interneuron contributions to rhythm and pattern."
recEBU9QYruCYKihU,"Lumbar V3 interneurons provide direct excitatory synaptic input onto thoracic sympathetic preganglionic neurons, linking locomotor, and autonomic spinal systems",Chacon,Nwachukwu; Shahsavani; Cowley,2023,10.3389/fncir.2023.1235181,,,,,,True,False,
recEHAlX6s2Ay8Zsi,Control of a hexapod robot using a biologically inspired neural network,Quinn and Espenschied,,1993,,,,,,,False,False,
recEO2Pd4Cy8iKeYM,Development and Flight Testing of a Turbulence Mitigation System for Micro Air Vehicles,Mohamed,,2016,10.1002/rob.21626,Vertebrates,,,,,False,True,Development and Flight Testing of a Turbulence Mitigation System for Micro Air Vehicles •••••••••••••••••••••••••••••••••••• A.
recEVziGsbjKuhyRk,Non-linear stimulus-response behavior of the human stance control system is predicted by optimization of a system with sensory and motor noise,Kooij,,2010,10.1007/s10827-010-0291-y,Human,,,Kooij 2010,,True,True,"Computational model study. We developed a theory of human stance control that predicted (1) how subjects re-weight their utilization of proprioceptive and graviceptive orientation information in experiments where eyes closed stance was perturbed by surface-tilt stimuli with different amplitudes, (2) the experimentally observed increase in body sway variability..."
recEX7mcxxwNr78Y3,Identified interneurons contributing to locomotion in mammals,Li et al.,,2023,10.1016/b978-0-12-819260-3.00009-3,Mammals; Mice; Cat,,,,Li 2023,False,True,Chapter cataloguing identified interneuron classes contributing to mammalian locomotion and their synaptic relations; useful companion to Sengupta & Bagnall 2023.
recEZ3lmr5vzzWXac,Tactile Sensing in Insects,Dürr and Krause,,2014,,,,,,,False,False,
recEfpqUr9aBwNnv4,Control of walking and running by means of electric stimulation of the midbrain,Shik,,1966,,Cat,,,,,False,True,Electrical stimulation of the mesencephalic locomotor region elicits walking and running graded by stimulus intensity — the founding demonstration of the MLR and descending gait control.
recEhN8N9nCtUEhhI,A Piecewise-Linear Approximation of the Canonical Spring-Loaded Inverted Pendulum Model of Legged Locomotion,Shen,,2016,10.1115/1.4029664,,,,,,False,False,
recEm0axCU177keHd,Contribution of morphology and membrane resistance to integration of fast synaptic signals in two thalamic cell types,Perreault and Raastad,,2006,10.1113/jphysiol.2006.113043,Cat,,,,,False,True,Morphology and membrane resistance determine integration of fast synaptic signals in two thalamic cell types; dendritic structure sets the window for synaptic summation.
recEnR0pqtUweSuQz,Computing Motion Dependent Afferent Activity During Cat Locomotion Using a Forward Dynamics Musculoskeletal Model,Prilutsky,Klishko; Weber; Lemay,2016,10.1007/978-1-4939-3267-2_10,,,,,,True,False,
recEo8zrcYm7PAsFe,"Sophisticated spinal contributions to
motor control",Poppele and Bosco,,2003,10.1016/S0166-2236(03)00073-0,Vertebrates; Frog; Turtle; Cat,,,,,True,True,"Review paper.
There is an extensive propriospinal network of reciprocal excitatory and inhibitory connections active during locomotion that may activate MNs far from the site of pattern generator.

A key issue in motor control is how sensory
inputs direct and inform motor output, – that is, the
sensorimotor process. Other major issues involve the
actual control of the motor apparatus. In general, there
are at least three basic requirements for motor control:
the transformations that map information from sensory
to motor coordinates, the specification of individual
muscle activations to achieve a kinematic goal, and the
control of multiple degrees of freedom. Here, we make
the case that the vertebrate spinal cord has the capacity
to solve each of these problems to a degree that is relevant for normal behavior."
recErzmL73q2PEhtl,A review of the integrate-and-fire neuron model: II. Inhomogeneous synaptic input and network properties,Burkitt,,2006,10.1007/s00422-006-0082-8,,,,Burkitt 2006,Burkitt 2006,False,True,Review of review integrate-and-fire neuron model: ii.. Computational model study. The integrate-and-ﬁre neuron model has become established as a canonical model for the description of spiking neurons be- cause it is capable of being analyzed mathematically while at the same time being sufﬁciently complex to capture many of the essential features of neural processing.
recEuvR1ll5KDcz7b,Biologically inspired approaches to robotics: what can we learn from insects?,Beer,Quinn; Chiel; Ritzmann,1997,10.1145/245108.245118,,,,,,False,False,
recEvGQ0MflxZ13yF,Decentralized control of insect walking: A simple neural network explains a wide range of behavioral and neurophysiological results,Schilling and Cruse,,2020,10.1371/journal.pcbi.1007804,Insects,,Dürr 2004,Schilling and Cruse 2015,,True,True,Very interesting paper that should be a mandatory read for all that work on insect locomotion. Talks about scaling. 5-rule model. Also is like a literature review that uses 148 reference citations.
recEvboexSzZrC9Ah,Paradoxical muscle movement in human standing,Loram,,2004,10.1113/jphysiol.2004.062398,Human,,,,,False,True,Here we use dynamic ultrasound imaging in vivo with novel automated tracking of muscle length to test our hypo- thesis.
recFA1PeRSPTv9POu,Neurobiological Bases of Rhythmic Motor Acts in Vertebrates,Grillner,,1985,10.1126/science.3975635,,,,,,False,False,
recFcuIXzjebeAqZF,"Intralimb and Interlimb Cutaneous Reflexes during
Locomotion in the Intact Cat",Hurteau,Thibaudier; Dambreville; Danner; Rybak; Frigon,2018,10.1523/JNEUROSCI.3288-17.2018,Cat,Cutaneous flexor excitation; Cutaneous stance modification,,,,True,True,"The skin contains receptors that, when activated, send inputs to spinal circuits, signaling a perturbation. Rapid responses, or
reflexes,inmuscles ofthe contacted limb and opposite homologous limb helpmaintain balance andforward progression.Here, we
investigated reflexes during quadrupedal locomotion in the cat by electrically stimulating cutaneous nerves in each of the four
limbs. Functionally, responses appear to modify the trajectory or stabilize the movement of the stimulated limb while modifying
the support phase ofthe other limbs. Reflexes between limbs aremediated byfast-conducting pathwaysthatinvolve excitatory and
inhibitory circuits controlling each limb. The comparatively stronger descending pathways from cervical to lumbar circuits
controlling the forelimbs and hindlimbs, respectively, could serve a protective function."
recFd4pICpFKMQZ4h,Maintenance of Lateral Stability During Standing and Walking in the Cat,Karayannidou,,2009,10.1152/jn.90934.2008,Cat,,,,,False,False,
recFmWROYSKJ0juJB,The case for and against muscle synergies.,Tresch and Jarc,,2009,10.1016/j.conb.2009.09.002,,,,,Tresch and Jarc 2009,True,True,"Tresch and Jarc 2009 weigh the evidence for and against muscle synergies as a hypothesized output level of the CNS, concluding that the field's task is to distinguish flexible combinations of muscle groups from alternative control variables (individual muscles, units, kinematics) rather than to accept or reject modularity wholesale."
recFo7XBnXxzVQG01,The contribution of a central pattern generator in a reflex-based neuromuscular model,Dzeladini,,2014,10.3389/fnhum.2014.00371,,,,,,True,False,
recFooCJX7RJMilQw,Mathematical Models of Proprioceptors. I. Control and Transduction in the Muscle Spindle,Mileusnic,,2006,10.1152/jn.00868.2005,Cat,,,Mileusnic 2006,,False,True,"Computational model study. In the case of simultaneous static and dynamic fusimotor efferent stimulation, we demonstrated the importance of including the experimentally observed effect of partial occlusion."
recFoowp3GLdTtl5p,Sensory feedback in cockroach locomotion: current knowledge and open questions,Ayali,Couzin-Fuchs; David; Gal; Holmes; Knebel,2015,10.1007/s00359-014-0968-1,Cockroach,Fictive locomotion without sensory feedback; Biomechanically mediated preflexive feedback; trochanteral hair plate multi-synaptic excitation; trochanteral hair plate multi-synaptic inhibition; trochanteral campaniform sensilla load signals to adjust MN magnitude; Chordotonal organ multi-synaptic excitation; Chordotonal organ multi-synaptic inhibition,,,,True,True,"The cockroach model and describe the basic characteristics of the neural generation and control of walking and running in this insect. The paper provides a brief overview of some recent studies, including mathematical modeling, which have contributed to knowledge of sensory control in cockroach locomotion. They focus on two sensory mechanisms and sense organs, those providing information related to loading and unloading of the body and the legs, and leg-movement-related sensory receptors, and present evidence for the instrumental role of these sensory signals in inter-leg locomotion control."
recFp8cXN4LD8SGTC,Self-adapting humanoid locomotion using a neural oscillator network,Yang,,2007,10.1109/iros.2007.4399498,Human,,,Yang 2007,,True,True,"Computational model study. In order to verify the validity of the proposed scheme, we carry out simulations and experiments."
recFqSV9WOXZsTiV9,Sensory Feedback and Central Neuronal Interactions in Mouse Locomotion,Molkov,Yu; Ausborn; Bouvier; Danner; Rybak,2023,10.1101/2023.10.31.564886,,,,,,True,False,
recFsVAudLXpREicY,Spinal Sensorimotor Circuits Play a Prominent Role in Hindlimb Locomotor Recovery after Staggered Thoracic Lateral Hemisections but Cannot Restore Posture and Interlimb Coordination during Quadrupedal Locomotion in Adult Cats,Audet,,2023,10.1523/ENEURO.0191-23.2023,Cat,,,,,True,True,"Staggered thoracic lateral hemisections in cats: hindlimb locomotion recovers spontaneously but forelimb–hindlimb coordination degrades into weaker 2:1 patterns, left–right stance/swing asymmetries appear then reverse after the second hemisection, and posture plus interlimb coordination remain impaired — lumbar sensorimotor circuits carry hindlimb recovery but not supraspinal-dependent coordination."
recG2jrJ4gY7qKHfD,Neural Adaptation in the Generation of Rhythmic Behavior,Pearson,,2000,10.1146/annurev.physiol.62.1.723,,,,,,False,True,"Central pattern generators are extremely flexible: neuromodulators, central commands and afferent signals reshape the cellular and synaptic properties of the neurons and the coupling between populations, and afferent feedback from limb proprioceptors drives the long-term adaptation that keeps motor output matched to changed body mechanics and persistent performance errors."
recG2w6dXkFEbMjK7,The role of the motor cortex in the control of accuracy of locomotor movements in the cat.,Beloozerova and Sirota,,1993,10.1113/jphysiol.1993.sp019498,Cat,,,,,False,True,"Motor cortex controls the accuracy of locomotor movements: cortical neurons encode precise foot placement, and cortical inactivation impairs accuracy without abolishing walking."
recGKVBie7mDU3cny,Influence of Large-Scale Freestream Turbulence on the Performance of a Thin Airfoil,Ravi,,2012,10.2514/1.j051640,Human,,,,,False,True,Freestream turbulence present within the atmospheric boundary layer can generally be characterized in terms of its intensity and integral length scale.
recGNWivbxaXIUKPy,Phase-dependent modulation of primary afferent depolarization in single cutaneous primary afferents evoked by peripheral stimulation during fictive locomotion in the cat,Gossard,Cabelguen; Rossignol,1990,10.1016/0006-8993(90)90334-8,,,,,,False,False,
recGU0bgWYQk3Q3ur,Subject-Specific Muscle Synergies in Human Balance Control Are Consistent Across Different Biomechanical Contexts,Torres-Oviedo,,2010,10.1152/jn.00960.2009,Human,,,,,False,True,"Consistent with this hypothesis, we showed that trial-by-trial variations in muscle activation for multidirectional balance control in humans were con- strained by a small set of muscle synergies."
recGXAkc9YqiOxZyT,Ipsilateral and Contralateral Interactions in Spinal Locomotor Circuits Mediated by V1 Neurons: Insights from Computational Modeling,Shevtsova,Li; Singh; Dougherty; Rybak,2022,10.3390/ijms23105541,,,Shevtsova 2015,,,True,True,"We describe and analyze a computational model of neural circuits in the mammalian spinal cord responsible for generating and shaping locomotor-like oscillations. The model represents interacting populations of spinal neurons, including the neurons that were genetically identified and characterized in a series of previous experimental studies. Here, we specifically focus on the ipsilaterally projecting V1 interneurons, their possible role in the spinal locomotor circuitry, and their involvement in the generation of locomotor oscillations. The proposed connections of these neurons and their involvement in different neuronal pathways in the spinal cord allow the model to reproduce the results of optogenetic manipulations of these neurons under different experimental conditions. We suggest the existence of two distinct populations of V1 interneurons mediating different ipsilateral and contralateral interactions within the spinal cord. The model proposes explanations for multiple experimental data concerning the effects of optogenetic silencing and activation of V1 interneurons on the frequency of locomotor oscillations in the intact cord and hemicord under different experimental conditions. Our simulations provide an important insight into the organization of locomotor circuitry in the mammalian spinal cord."
recGZwypGABEgcHnw,Central pattern generator for swimming in <i>Melibe</i>,Thompson,,2005,10.1242/jeb.01500,,,,Thompson 2005,,False,True,Computational model study. We propose that the swim CPG consists of two pairs of interneurons.
recGepjwk3eNhBIb5,Extending the Functional Subnetwork Approach to a Generalized Linear Integrate-and-Fire Neuron Model.,Szczecinski,Quinn; Hunt,2020,10.3389/fnbot.2020.577804,,,,,,True,False,
recGh9JducyMI73Jk,Aerodynamic Sensing for a Fixed Wing UAS Operating at High Angles of Attack,Yeo,,2012,10.2514/6.2012-4416,,,,,,False,True,This paper describes the ongoing development of a pressure - based aerodynamic data system for a fixed wing UAS operating at high angles of attack .
recGjIFEmPMcbesLF,Parallel reflex pathways from flexor muscle afferents evoking resetting and flexion enhancement during fictive locomotion and scratch in the cat.,Stecina et al.,,2005,10.1113/jphysiol.2005.095505,Cat,Ia or II stance to swing,,,,False,True,Parallel reflex pathways from flexor muscle afferents evoke resetting and flexion enhancement during fictive locomotion and scratch; group I/II flexor afferents access the rhythm generator through multiple routes.
recGjQLjdnjFm8IWZ,Deletions of Rhythmic Motoneuron Activity During Fictive Locomotion and Scratch Provide Clues to the Organization of the Mammalian Central Pattern Generator,Lafrenière-Roula et al.,,2005,10.1152/jn.00216.2005,Cat,Fictive locomotion without sensory feedback,,,,False,True,Deletions of rhythmic motoneuron activity during fictive locomotion and scratch provide key clues to CPG organization — evidence for the two-level rhythm/pattern architecture.
recGotUqen6qle1Xx,The central pattern generator for forelimb locomotion in the cat.,Yamaguchi,,2004,10.1016/s0079-6123(03)43011-2,,,,,,False,False,
recGrViCbZPnRE3W0,Predictive and reactive tuning of the locomotor CPG,Procházka et al.,,2007,10.1093/icb/icm065,Cat,,,,,False,True,The locomotor CPG is tuned both predictively (state-dependent adjustment to expected limb mechanics) and reactively (perturbation-driven corrections); proprioceptive feedback does not merely correct errors but continuously calibrates the pattern.
recH0svuO344o1Stg,Neuronal Control of LocomotionFrom Mollusc to Man,Orlovsky,Deliagina; Grillner,1999,10.1093/acprof:oso/9780198524052.001.0001,,,,,,False,False,
recH2sR8cQRvaywUj,Measured motion: searching for simplicity in spinal locomotor networks.,Grillner and Jessell,,2009,10.1016/j.conb.2009.10.011,,,,,,False,False,
